colsample_bytree,colsample_bynode,max_depth,learning_rate,n_estimators,subsample,gamma,max_leaves,test_mae,train_mae
0.5,0.5,15,0.08999,100,1.0,0.0,0,164889.8586248983,8864.858517667337
1.0,0.5,15,0.15,700,0.5,0.0,100,110614.208096013,2947.113706549842
1.0,0.5,3,0.15,100,0.5,1.0,0,225543.45565500407,156722.18719477163
0.5,1.0,15,0.15,700,0.5,0.0,100,181386.20514646053,5386.095608302212
0.5,0.5,3,0.08999,100,0.5,1.0,100,366604.8506916192,322576.646725079
0.5,1.0,3,0.08999,700,1.0,0.0,0,121446.51698535394,54506.77526213732
0.5,0.5,15,0.08999,700,1.0,0.0,100,165075.33034987794,9484.155038063776
0.5,0.5,3,0.15,100,1.0,0.0,0,283431.1802278275,218493.50093363976
0.5,1.0,15,0.15,100,1.0,0.0,100,137987.4678600488,35350.21534760126
0.5,0.5,3,0.15,700,0.5,0.0,0,196168.30970301057,90912.94908072392
1.0,0.5,3,0.08999,700,0.5,0.0,100,137869.82058584216,60712.79375538638
0.5,0.5,15,0.08999,700,0.5,0.0,0,213831.07089096823,480.9311979316288
1.0,1.0,15,0.15,100,1.0,1.0,0,106818.91578519122,1589.1941072967538
1.0,1.0,15,0.15,700,1.0,1.0,100,107630.72253864932,724.7887101407641
1.0,1.0,15,0.08999,700,0.5,0.0,0,74010.39137510171,407.8145827348463
0.5,0.5,3,0.08999,700,1.0,1.0,100,150886.26871440196,83767.72369649526
0.5,0.5,15,0.15,100,1.0,1.0,0,239993.1852115541,2759.630188882505
0.5,1.0,3,0.15,700,1.0,1.0,0,108608.12550854353,39248.00574547544
1.0,0.5,3,0.08999,100,0.5,0.0,0,200386.42005695688,156039.1183208848
1.0,1.0,3,0.08999,700,0.5,1.0,0,93777.94690805532,35342.521653260555
0.5,0.5,15,0.08999,100,0.5,0.0,100,251150.35343775427,117966.21676601552
0.5,1.0,15,0.08999,700,0.5,1.0,100,179224.06295768917,10268.668970841713
1.0,1.0,15,0.15,700,0.5,1.0,0,83542.39971521562,307.35173082447574
0.5,1.0,15,0.08999,700,1.0,1.0,0,196708.01749389747,130.58282461936224
0.5,0.5,15,0.15,100,0.5,1.0,100,265840.3863913751,97811.15665397876
1.0,0.5,15,0.08999,700,0.5,1.0,100,95502.18368592352,6034.635880494111
1.0,1.0,15,0.08999,700,1.0,0.0,100,93429.85201383238,2034.163297184717
0.5,1.0,15,0.15,100,0.5,0.0,0,214767.6037428804,22550.595195346166
0.5,0.5,3,0.15,700,1.0,0.0,100,162280.5207485761,70715.85781743751
1.0,0.5,15,0.15,100,1.0,0.0,100,102517.40388527258,19784.975348319447
0.5,0.5,3,0.15,100,0.5,0.0,100,329422.66822620016,263115.6701917552
1.0,1.0,3,0.15,100,0.5,0.0,100,111270.15398698128,71990.92401608733
0.5,0.5,15,0.15,700,0.5,1.0,0,288230.9332790887,300.63710140764147
1.0,0.5,15,0.15,100,0.5,0.0,0,113474.85506509356,16176.604226515368
1.0,0.5,15,0.08999,700,1.0,1.0,0,95311.05970301056,131.4147874174088
0.5,1.0,15,0.15,700,1.0,0.0,0,187061.22681041496,127.98798836541224
0.5,1.0,3,0.08999,700,0.5,0.0,100,127979.9155817738,60874.12201953462
0.5,1.0,3,0.15,100,1.0,1.0,100,187497.8932058584,132031.62187589772
0.5,0.5,15,0.15,700,1.0,1.0,100,175321.39818958502,3762.0848355357657
1.0,0.5,3,0.15,700,1.0,1.0,0,115214.04810821806,42501.369128842285
0.5,1.0,15,0.08999,100,1.0,1.0,100,169053.28824247356,62842.47723355357
1.0,1.0,3,0.08999,700,1.0,1.0,100,94687.64839300244,32514.981524705545
0.5,1.0,3,0.08999,100,1.0,0.0,100,256336.69609438567,204451.57907210573
0.5,1.0,3,0.15,100,0.5,1.0,0,214659.6220504475,178038.92705041653
1.0,1.0,15,0.08999,100,0.5,0.0,100,70263.85455655004,22803.005440247056
1.0,1.0,3,0.15,100,1.0,0.0,0,116674.1167615948,72132.75773843723
0.5,1.0,15,0.08999,100,0.5,1.0,0,216713.67748169243,35411.00931844298
1.0,0.5,15,0.15,700,1.0,0.0,0,95578.02369812856,128.1265979603562
1.0,0.5,3,0.08999,100,1.0,0.0,100,177018.9739625712,139644.04086469405
1.0,0.5,3,0.15,100,1.0,1.0,100,171987.93429617575,120649.15965239874
0.5,1.0,3,0.15,700,0.5,1.0,100,136541.34326688363,59512.18809250216
0.5,0.5,3,0.08999,100,1.0,1.0,0,338749.775630594,292108.23919132433
1.0,1.0,15,0.08999,100,1.0,0.0,0,91892.6348657445,4157.2097098534905
0.5,0.5,3,0.08999,700,0.5,1.0,0,176619.84987794954,98391.50251364552
1.0,1.0,3,0.15,700,0.5,0.0,0,96294.62123677786,33277.584153260555
1.0,0.5,3,0.08999,700,1.0,0.0,0,111463.24430431244,52487.96046394714
1.0,1.0,3,0.15,700,1.0,0.0,100,83009.12855980473,24601.01145504165
1.0,0.5,3,0.15,700,0.5,1.0,100,158117.90632628152,63476.91755242746
0.5,1.0,3,0.08999,100,0.5,0.0,0,257380.6509357201,219145.28874605
1.0,0.5,15,0.08999,100,1.0,1.0,100,98607.98291293735,23813.728975150814
1.0,1.0,15,0.15,100,0.5,1.0,100,81370.82262001628,17607.309286124677
1.0,1.0,3,0.08999,100,0.5,1.0,100,101146.4125305126,68383.46789715599
1.0,0.5,15,0.08999,100,0.5,1.0,0,92602.8782546786,25093.452779373743
1.0,1.0,3,0.08999,100,1.0,1.0,0,102610.12855980473,65241.20066072968
0.75,0.75,9,0.119995,400,0.75,0.5,50,100885.28020748576,10149.365502010916
0.75,0.75,9,0.119995,400,0.75,0.5,50,100885.28020748576,10149.365502010916
0.75,0.75,9,0.119995,400,0.75,0.5,50,100885.28020748576,10149.365502010916
0.75,0.75,9,0.119995,400,0.75,0.5,50,100885.28020748576,10149.365502010916
0.75,0.75,9,0.119995,400,0.75,0.5,50,100885.28020748576,10149.365502010916
